schid,x2schoolcli,c2caseload,Freq,stu_id,x1txmth,x1txmsem,x1txmscr,x1txmtscor,x1ses,x2txmth,x2txmsem,x2txmscr,x2x1txmscr,x2txmtscor,x2ses,x1schoolcli,x1coupertea,x1coupercou,x1couperpri,c2numgrads
3,1.69,40,39,21471,-0.0668,0.2163,39.1792,50.0569,1.2556,0.7552,0.3128,68.2379,53.7918,51.8416,1.2773,1.16,0.8,-1.38,-0.1,240
3,1.69,40,39,24728,-0.4255,0.1991,33.8051,46.3329,0.3202,1.4893,0.2295,80.6136,46.9881,58.3151,0.4285,1.16,0.8,-1.38,-0.1,600
3,1.69,40,39,20323,0.8212,0.2371,50.3821,59.2758,1.1395,1.1832,0.2481,75.3915,69.3459,55.6164,0.7279,1.16,0.8,-1.38,-0.1,30
3,1.69,40,39,33617,2.007,0.2444,63.8516,71.5858,1.3649,2.5001,0.2602,96.9931,89.6173,67.2294,1.4062,1.16,0.8,-1.38,-0.1,60
3,1.69,40,39,15259,1.4997,0.2453,58.3674,66.3187,0.9503,2.9418,0.2521,102.724,80.7947,71.1236,1.1621,1.16,0.8,-1.38,-0.1,450
3,1.69,40,39,27075,NA,NA,52.0511432,NA,NA,2.5547,0.2312,97.7321,NA,67.7101,0.9333,1.16,0.8,-1.38,-0.1,NA
3,1.69,40,39,14337,1.1826,0.3557,54.673,63.0272,2.0735,2.578,0.2717,98.0455,75.3811,67.9161,1.7507,1.16,0.8,-1.38,-0.1,60
3,1.69,40,39,11364,0.6168,0.2819,47.9209,57.1537,0.8313,0.7068,0.3123,67.423,65.8983,51.4149,0.7367,1.31,NA,NA,NA,NA
3,1.69,40,39,19120,-0.1446,0.3282,38.0612,49.2494,0.8622,1.2446,0.2403,76.4245,52.338,56.1573,1.3845,1.31,NA,NA,NA,400
3,1.69,40,39,10907,1.1236,0.242,53.9774,62.4149,-0.0197,1.1161,0.2694,74.2659,74.3924,55.0241,-0.248,1.16,0.8,-1.38,-0.1,425
3,1.69,40,39,31004,0.7214,0.2372,49.1839,58.2395,0.8606,1.4359,0.2428,79.689,67.6701,57.8445,0.7115,1.16,0.8,-1.38,-0.1,230
3,1.69,40,39,11786,0.0139,0.2534,40.3024,50.8949,1.0759,0.8581,0.3238,69.9613,55.2789,52.749,0.8692,1.31,NA,NA,NA,60
3,1.69,40,39,26444,-0.1705,0.2787,37.682,48.9808,0.336,1.2251,0.2831,76.0966,51.8504,55.9859,1.1953,1.31,NA,NA,NA,500
3,1.69,40,39,26859,-0.5936,0.2809,31.2363,44.5882,1.2864,-0.0229,0.3254,54.603,43.8476,44.9803,0.8995,1.31,NA,NA,NA,260
